individual	Panel	GroupK9	Country	Name	Variety name	Version	Duplicate
1	3k	GJ-tmp	China	B001			
3	3k	XI-1B	India	B029	Dumai		
4	3k	GJ-adm	China	B070			
5	3k	admix	China	B084			
6	3k	admix	China	B086			
7	3k	XI-adm	China	B091			
8	3k	XI-adm	China	B096			
9	3k	XI-adm	China	B105			
10	3k	XI-adm	China	B113			
11	3k	XI-adm	China	B116			
12	3k	XI-adm	China	B123			
13	3k	XI-adm	China	B125			
14	3k	XI-adm	China	B129			
15	3k	XI-adm	China	B131			
16	3k	GJ-tmp	China	B143	76--1		
17	3k	admix	Indonesia	B173	Tjantajan		
18	3k	GJ-tmp	China	B204			
19	3k	XI-1A	China	B216			
21	3k	cA (Aus)	China	B243			
22	3k	XI-adm	China	B252			
23	3k	XI-adm	China	B253			
24	3k	XI-adm	China	B265			
25	3k	GJ-tmp	China	B269			
26	3k	admix	India	CX46	Pusa(Basmati 1)		
27	3k	XI-1B	India	CX60	Basmati		
28	3k	cB (Bas)	Pakistan	CX72	Basmati 385		
29	3k	cB (Bas)	Iran	CX104	Sadri rice 1		
30	3k	GJ-tmp	Japan	CX140	Nipponbare		
31	3k	cB (Bas)	India	CX149	Karnal Local		
32	3k	XI-1B	Philippines	CX150	Chorofa		
33	3k	XI-2	India	CX155	Madhukar		
34	3k	cA (Aus)	Japan	CX227	KASALATH		
35	3k	XI-1A	Taiwan	CX270			
36	3k	XI-1B	Philippines	CX403	IR64a		
37	3k	XI-2	India	IRIS_313-7736	NONA BOKRA		
38	3k	GJ-trp	Indonesia	IRIS_313-7883	GANIGI		
39	3k	admix	Nepal	IRIS_313-7933	KAKANI 2		
40	3k	XI-2	SriLanka	IRIS_313-8244	POKKALI		
41	3k	admix	Bhutan	IRIS_313-8302	KAMJA		
42	3k	cB (Bas)	India	IRIS_313-8326	JC1		
43	3k	XI-adm	India	IRIS_313-8332	ARC 15091		
44	3k	XI-2	Bangladesh	IRIS_313-8349	LATA MONA		
45	3k	admix	India	IRIS_313-8382	ARC 13252		
46	3k	XI-adm	India	IRIS_313-8386	ARC 10812		
47	3k	XI-adm	India	IRIS_313-8414	ARC 18202		
48	3k	XI-adm	India	IRIS_313-8453	ARC 18597		
49	3k	XI-adm	India	IRIS_313-8458	ARC 18175		
50	3k	XI-3	Indonesia	IRIS_313-8493	MELABOH		
51	3k	XI-2	India	IRIS_313-8530	DHANE BURWA		
52	3k	cA (Aus)	India	IRIS_313-8554	ARC 11959		
53	3k	XI-3	Malaysia	IRIS_313-8557	SERENDAH SUNGAI DUA 25		
54	3k	XI-2	India	IRIS_313-8568	LARHA MUGAD		
55	3k	cB (Bas)	Pakistan	IRIS_313-8656	BASMATI 1		
56	3k	GJ-adm	Vietnam	IRIS_313-8690	NEP HOA VANG		
57	3k	cA (Aus)	Bangladesh	IRIS_313-8864	NOROI		
58	3k	GJ-sbtrp	Thailand	IRIS_313-8872	UNNAMED		
59	3k	GJ-adm	Malaysia	IRIS_313-8883	LOMPUG		
60	3k	admix	Thailand	IRIS_313-8911	LEK		
61	3k	XI-1B	Bangladesh	IRIS_313-8930	MUKKALA BAZAL		
62	3k	XI-adm	India	IRIS_313-8935	ARC 18061		
63	3k	XI-3	Philippines	IRIS_313-8948	BUCAYAB		
64	3k	XI-adm	India	IRIS_313-8967	ARC 12576		
65	3k	XI-adm	India	IRIS_313-8986	ARC 10754		
66	3k	XI-3	Thailand	IRIS_313-9020	LEUANG CHAIYAPHUM		
67	3k	admix	India	IRIS_313-9053	ARC 12536		
68	3k	XI-2	Bangladesh	IRIS_313-9067	BHOJON KOLPO		
69	3k	GJ-tmp	Japan	IRIS_313-9081	TAKAO MOCHI		
70	3k	admix	Malaysia	IRIS_313-9101	DARAWAL		
71	3k	XI-adm	Bangladesh	IRIS_313-9108	RAYADA		
72	3k	XI-adm	Myanmar	IRIS_313-9182	KHAO MON		
73	3k	admix	Indonesia	IRIS_313-9242	SUKARADJA		
74	3k	XI-2	Bangladesh	IRIS_313-9262	JHODI BIRUN		
75	3k	cA (Aus)	Pakistan	IRIS_313-9283	TAK SUFAID		
76	3k	XI-2	India	IRIS_313-9384	BARIK KUDI		
77	3k	admix	India	IRIS_313-9392	ARC 11626		
78	3k	admix	Bangladesh	IRIS_313-9445	KOIYA DIGHA		
79	3k	cA (Aus)	Pakistan	IRIS_313-9449	JAMBALI		
80	3k	admix	Bhutan	IRIS_313-9506	TIMA		
